Filename	StartTimeStamp	XIC-WideFrac	XIC-FWHM-Q1	XIC-FWHM-Q2	XIC-FWHM-Q3	XIC-Height-Q2	XIC-Height-Q3	XIC-Height-Q4	RT-Duration	RT-TIC-Q1	RT-TIC-Q2	RT-TIC-Q3	RT-TIC-Q4	RT-MS-Q1	RT-MS-Q2	RT-MS-Q3	RT-MS-Q4	RT-MSMS-Q1	RT-MSMS-Q2	RT-MSMS-Q3	RT-MSMS-Q4	MS1-TIC-Change-Q2	MS1-TIC-Change-Q3	MS1-TIC-Change-Q4	MS1-TIC-Q2	MS1-TIC-Q3	MS1-TIC-Q4	MS1-Count	MS1-Freq-Max	MS1-Density-Q1	MS1-Density-Q2	MS1-Density-Q3	MS2-Count	MS2-Freq-Max	MS2-Density-Q1	MS2-Density-Q2	MS2-Density-Q3	MS2-PrecZ-1	MS2-PrecZ-2	MS2-PrecZ-3	MS2-PrecZ-4	MS2-PrecZ-5	MS2-PrecZ-more	MS2-PrecZ-likely-1	MS2-PrecZ-likely-multi
"QC_Shew_13_02_2b_22Mar13_Leopard_12-12-34.mzML"	2013-03-22T21:57:34Z	0.327806	17.3577	19.9841	24.7523	1.05113	1.15888	3.57212	5939.38	0.316372	0.15346	0.163931	0.366237	0.250132	0.225745	0.24355	0.280572	0.255091	0.22426	0.241932	0.278718	1.20894	0.751543	3.70747	0.713345	0.247793	0.446389	3008	0.593116	1858.75	2465	3018	17910	3.57998	248	472	651	0.0857621	0.270966	0.251145	0.102178	0.0306533	0.00926857	0.0146845	0.235343
"QC_Shew_13_02_2b_23Mar13_Leopard_12-12-34.mzML"	2013-03-23T16:52:10Z	0.326589	17.4831	19.9428	24.5247	1.02451	1.1963	3.8341	5941.24	0.283645	0.202191	0.153666	0.360497	0.244579	0.227148	0.244733	0.283539	0.246386	0.226654	0.244162	0.282799	1.1273	0.768735	3.83114	0.91853	0.316806	0.301739	3040	0.597927	1810.75	2499	3092	18188	3.59112	250	466	643	0.0835166	0.267594	0.246316	0.100451	0.032274	0.00995162	0.0162745	0.243622
"QC_Shew_13_02_3bb_21Mar13_Cheetah_13-03-03.mzML"	2013-03-22T04:31:57Z	0.32522	17.0556	19.1713	23.4333	1.00698	0.974252	3.72262	5941.49	0.400148	0.119551	0.12783	0.352471	0.225967	0.230018	0.250395	0.29362	0.401701	0.180259	0.192112	0.225928	6.63869	1.53575	3.87403	7.14674	1.09033	0.478865	3006	0.620392	280	2521	3265	13394	3.35614	155	346	639	0.0826489	0.171121	0.258698	0.105196	0.0306107	0.00970584	0.0617441	0.280275
"QC_Shew_13_02_pt5_1_1_1Apr13_Leopard_12-12-33.mzML"	2013-04-01T17:31:54Z	0.307156	19.3386	22.305	27.6448	1.10181	1.10196	4.17406	5940.76	0.301307	0.146769	0.151869	0.400055	0.251373	0.226977	0.243429	0.278221	0.262123	0.223631	0.240242	0.274004	1.35646	0.81198	3.88558	1.16534	0.432329	0.432386	2865	0.570159	1834	2471	2989	16910	3.43788	168	330.5	548	0.0937315	0.237907	0.210408	0.0703726	0.0150207	0.00342992	0.0322886	0.336842
"QC_Shew_13_02_pt5_1_1_31Mar13_Leopard_12-12-33.mzML"	2013-03-31T18:12:16Z	0.305677	20.1422	23.0688	28.4396	0.948151	1.08347	4.60141	5941.44	0.272962	0.14091	0.14719	0.438939	0.241873	0.231254	0.24793	0.278943	0.25247	0.227827	0.244853	0.274851	1.09768	0.803145	3.99571	0.74444	0.363758	0.537135	2913	0.556486	1985	2688	3035	17211	3.35735	178	379	588	0.0890128	0.254314	0.221544	0.0415432	0.00331184	0.000406717	0.0264366	0.36343
"QC_Shew_13_02_2c_23Mar13_Leopard_12-12-34.mzML"	2013-03-23T20:52:43Z	0.325959	17.1704	19.6514	24.0822	1.04877	1.1435	3.72707	5940.78	0.284034	0.177128	0.176	0.362838	0.246881	0.226232	0.243035	0.283853	0.249206	0.225594	0.242259	0.282941	1.15789	0.750735	3.74246	1.25326	0.269815	0.328068	3017	0.602963	1843	2528	3155	18036	3.62734	243	458.5	639	0.0793413	0.266024	0.252772	0.100743	0.0314926	0.0107008	0.0170215	0.241905
"QC_Shew_13_02_pt5_1_1_3Apr13_Leopard_12-12-33.mzML"	2013-04-03T20:27:25Z	0.313506	18.7884	21.6136	26.4959	1.01627	1.15919	4.51378	5939.27	0.294128	0.13856	0.136284	0.431028	0.243007	0.227646	0.244423	0.284924	0.26857	0.219166	0.237163	0.275102	1.35132	0.82083	3.88898	0.866868	0.437005	0.565114	2849	0.604041	1835	2710	3176	16459	3.37757	165	369	576	0.0884622	0.24078	0.226502	0.0763716	0.0142779	0.00285558	0.0329911	0.317759
"QC_Shew_13_02_pt5_2_1_31Mar13_Leopard_12-12-34.mzML"	2013-03-31T20:27:18Z	0.213432	22.9031	28.0633	36.5301	0.620315	0.833443	4.9065	5939.91	0.341836	0.267034	0.194515	0.196615	0.214048	0.237246	0.281406	0.267299	0.318759	0.235131	0.228152	0.217958	0.998905	0.907923	4.05866	1.02963	0.399893	2.92007	2552	0.604375	501.75	1111	1831	12552	2.51331	100	178	275	0.128346	0.0340982	0.0732951	0.0764818	0.0344965	0.00501912	0.0479605	0.600303
"QC_Shew_13_02_pt5_1_2_3Apr13_Leopard_12-12-33.mzML"	2013-04-04T00:43:03Z	0.296826	19.0153	21.6438	27.2118	1.14198	0.996952	4.07376	5940.74	0.440784	0.0888599	0.122705	0.347651	0.222569	0.227198	0.254802	0.29543	0.434613	0.170189	0.184866	0.210333	6.01491	1.79515	4.56119	6.12849	1.88514	0.821848	2985	0.610234	269	2709	3283	12317	3.28327	120	262	553	0.0791589	0.180645	0.267679	0.101161	0.0250061	0.00511488	0.0745311	0.266705
"QC_Shew_13_02_pt5_1_2_1Apr13_Leopard_12-12-33.mzML"	2013-04-01T22:03:36Z	0.309438	19.7391	22.5554	27.6969	1.00011	1.10429	4.49022	5941.25	0.278381	0.160038	0.174892	0.38669	0.247617	0.228051	0.243953	0.28038	0.257311	0.224891	0.24117	0.276627	1.32082	0.783228	3.76646	1.06217	0.328061	0.481381	2868	0.567485	1875.5	2699	3246	16963	3.41237	155.5	324	547	0.0879561	0.234275	0.220303	0.0769321	0.017096	0.00394977	0.0267641	0.332724
