Filename	StartTimeStamp	XIC-WideFrac	XIC-FWHM-Q1	XIC-FWHM-Q2	XIC-FWHM-Q3	XIC-Height-Q2	XIC-Height-Q3	XIC-Height-Q4	RT-Duration	RT-TIC-Q1	RT-TIC-Q2	RT-TIC-Q3	RT-TIC-Q4	RT-MS-Q1	RT-MS-Q2	RT-MS-Q3	RT-MS-Q4	RT-MSMS-Q1	RT-MSMS-Q2	RT-MSMS-Q3	RT-MSMS-Q4	MS1-TIC-Change-Q2	MS1-TIC-Change-Q3	MS1-TIC-Change-Q4	MS1-TIC-Q2	MS1-TIC-Q3	MS1-TIC-Q4	MS1-Count	MS1-Freq-Max	MS1-Density-Q1	MS1-Density-Q2	MS1-Density-Q3	MS2-Count	MS2-Freq-Max	MS2-Density-Q1	MS2-Density-Q2	MS2-Density-Q3	MS2-PrecZ-1	MS2-PrecZ-2	MS2-PrecZ-3	MS2-PrecZ-4	MS2-PrecZ-5	MS2-PrecZ-more	MS2-PrecZ-likely-1	MS2-PrecZ-likely-multi
"QC_Shew_12_03_Run-10_16Jan13_Lion_12-10-04.mzML"	2013-01-17T08:58:19Z	0.239015	46.3479	53.6269	63.1484	0.80061	0.692131	2.60127	5943.36	0.473447	0.162016	0.160902	0.203634	0.219999	0.262253	0.256251	0.261498	0.279551	0.235157	0.236175	0.249117	1.58912	1.02488	1.95318	1.85212	0.356849	0.538517	1525	2.15773	1217	1367	1473	13769	2.55571	490	600	723	0	0	0	0	0	0	0.0485148	0.951485
"QC_Shew_12_03_Run-07_21Jan13_Rogue_12-10-03.mzML"	2013-01-22T10:08:52Z	0.211415	42.2953	51.3385	63.0798	0.779834	0.74749	2.71295	5939.28	0.475444	0.157867	0.148516	0.218172	0.216137	0.262429	0.254659	0.266775	0.28138	0.237749	0.234062	0.24681	1.62065	0.977523	1.63945	2.01491	0.348078	0.497762	1967	2.81719	1262	1396	1478	18012	3.34595	481	605	738	0	0	0	0	0	0	0.04336	0.95664
"QC_Shew_12_03_Run-06_21Jan13_Rogue_12-10-04.mzML"	2013-01-22T08:28:52Z	0.220481	37.8794	45.7513	56.2862	0.570045	0.678472	2.87242	5940.47	0.325502	0.165648	0.175146	0.333703	0.194715	0.263156	0.260696	0.281434	0.255518	0.240108	0.240511	0.263863	0.985648	0.785505	2.12052	0.753998	0.2389	0.345254	2024	2.89155	1280	1433	1487	18446	3.32585	492	623	763	0	0	0	0	0	0	0.0500379	0.949962
"QC_Shew_12_03_pt5_1a_21Jan13_Leopard_12-12-26.mzML"	2013-01-21T18:21:35Z	0.236698	9.3815	10.975	13.5104	0.717338	0.577268	4.28731	2669.01	0.417967	0.135298	0.194873	0.251862	0.25002	0.250366	0.251105	0.248509	0.250333	0.24896	0.249287	0.25142	0.819636	0.796021	2.22177	0.870528	0.380963	0.640615	2026	0.813173	1478.25	1518	1549	6033	2.3332	93	271	504	0	0	0	0	0	0	0.237527	0.762473
"QC_Shew_12_03_pt5_1a_22Jan13_Leopard_12-12-26.mzML"	2013-01-22T11:41:43Z	0.182726	20.1134	25.6855	36.2028	0.739545	0.826815	3.99144	2699.83	0.173364	0.144231	0.27319	0.409214	0.245216	0.251327	0.260397	0.24306	0.233023	0.247908	0.256809	0.26226	0.917018	0.694876	3.88357	0.225035	0.47314	1.52622	2052	1.3259	1239	1355	1450	6009	2.55573	454	515	566	0	0	0	0	0	0	0.650025	0.349975
"QC_Shew_12_03_pt5_1b_21Jan13_Leopard_12-12-26.mzML"	2013-01-21T20:11:25Z	0.225892	8.22053	9.77822	11.9461	0.339272	0.343823	3.53852	2669.62	0.433087	0.177244	0.210667	0.179001	0.251412	0.2508	0.249143	0.248644	0.251375	0.248537	0.2452	0.254888	0.86395	0.724845	2.67312	0.620144	0.331081	1.23802	2043	0.910064	1309	1470	1543	6025	2.32823	47	84	179	0	0	0	0	0	0	0.283154	0.716846
"QC_Shew_12_03_pt5_1h_21Jan13_Leopard_12-12-26.mzML"	2013-01-22T08:40:30Z	0.239169	8.38537	9.63186	11.8499	0.241413	0.279549	1.404	2007.98	0.364071	0.236058	0.158391	0.24148	0.251073	0.253034	0.250036	0.245858	0.255581	0.249894	0.244922	0.249603	0.800314	0.585509	2.42837	0.29339	0.313095	0.997178	1544	0.784291	1169	1308	1429.25	4524	2.33302	26	48	62	0	0	0	0	0	0	0.409814	0.590186
"QC_Shew_12_03_pt5_1c_21Jan13_Leopard_12-12-26.mzML"	2013-01-21T21:51:58Z	0.234279	8.0783	9.53965	11.7252	0.310425	0.325682	2.90711	2669.99	0.415411	0.187937	0.220142	0.17651	0.250934	0.250489	0.247299	0.251277	0.251924	0.249154	0.244245	0.254677	0.859126	0.732382	2.61024	0.412459	0.364624	1.33201	2037	0.823219	1292	1418	1516	6027	2.34387	38	67	128	0	0	0	0	0	0	0.337647	0.662353
"QC_Shew_12_03_Run-08_21Jan13_Rogue_12-10-04.mzML"	2013-01-22T11:48:51Z	0.224245	36.2655	44.4675	55.3426	0.577432	0.698996	2.82565	5939.94	0.345678	0.158926	0.171969	0.323428	0.204735	0.259042	0.256515	0.279708	0.265115	0.236695	0.236503	0.261687	1.22613	0.856216	1.91944	1.47564	0.22275	0.360063	1993	2.77066	1324	1443	1490	18181	3.33329	486	624	763	0	0	0	0	0	0	0.0472471	0.952753
"QC_Shew_12_03_pt5_1d_21Jan13_Leopard_12-12-26.mzML"	2013-01-21T23:32:27Z	0.230986	8.25389	9.54789	11.7697	0.267992	0.354294	2.87385	2692.55	0.389983	0.194809	0.23351	0.181698	0.256984	0.249077	0.245431	0.248508	0.251969	0.248999	0.244658	0.254373	0.840166	0.750139	2.73381	0.384333	0.370544	1.34393	2042	0.838649	1260	1409	1507	6035	2.3467	40	72	125	0	0	0	0	0	0	0.325104	0.674896
